ID,Name,Compartment,"Copy number, typical",Type,Role
MG_001_MONOMER,"DNA polymerase III, beta subunit",c,60,protein-monomer,reactant
MG_003_MONOMER,"DNA gyrase, B subunit",c,20,protein-monomer,reactant
MG_004_MONOMER,"DNA gyrase, A subunit",c,1,protein-monomer,reactant
MG_005_MONOMER,seryl-tRNA synthetase,c,1,protein-monomer,reactant
MG_006_MONOMER,thymidylate kinase,c,1,protein-monomer,reactant
MG_007_MONOMER,"DNA polymerase III delta prime subunit, putative",c,235,protein-monomer,reactant
MG_008_MONOMER,tRNA modification GTPase TrmE,c,215,protein-monomer,reactant
MG_013_MONOMER,methylenetetrahydrofolate dehydrogenase/methylenetetrahydrofolate cyclohydrolase,c,0,protein-monomer,reactant
MG_014_MONOMER,"multidrug ABC transporter, ATP-binding/permease protein",m,1,protein-monomer,reactant
MG_015_MONOMER,"multidrug ABC transporter, ATP-binding/permease protein",m,0,protein-monomer,reactant
MG_019_MONOMER,chaperone protein DnaJ,c,1,protein-monomer,reactant
MG_021_MONOMER,methionyl-tRNA synthetase,c,0,protein-monomer,reactant
MG_022_MONOMER,"DNA-directed RNA polymerase, delta subunit",c,176,protein-monomer,reactant
MG_023_MONOMER,"fructose-1,6-bisphosphate aldolase, class II",c,1,protein-monomer,reactant
MG_029_MONOMER,DJ-1/PfpI family protein,c,0,protein-monomer,reactant
MG_030_MONOMER,uracil phosphoribosyltransferase,c,0,protein-monomer,reactant
MG_031_MONOMER,"DNA polymerase III, alpha subunit, Gram-positive type",c,9,protein-monomer,reactant
MG_033_MONOMER,glycerol uptake facilitator,m,0,protein-monomer,reactant
MG_034_MONOMER,thymidine kinase,c,1,protein-monomer,reactant
MG_035_MONOMER,histidyl-tRNA synthetase,c,0,protein-monomer,reactant
MG_036_MONOMER,aspartyl-tRNA synthetase,c,0,protein-monomer,reactant
MG_038_MONOMER,glycerol kinase,c,3,protein-monomer,reactant
MG_039_MONOMER,"FAD-dependent glycerol-3-phosphate dehydrogenase, putative",c,0,protein-monomer,reactant
MG_040_MONOMER,"Monosaccharide (riboside/galactoside) ABC transporter, substrate binding protein",e,0,protein-monomer,reactant
MG_041_MONOMER,"PTS system, HPr",c,51,protein-monomer,reactant
MG_042_MONOMER,"spermidine/putrescine (polyamine) ABC transporter, ATP-binding protein, putative",c,1,protein-monomer,reactant
MG_043_MONOMER,"spermidine/putrescine (polyamine) ABC transporter, permease protein, putative",m,23,protein-monomer,reactant
MG_044_MONOMER,"spermidine/putrescine (polyamine) ABC transporter, permease protein, putative",m,31,protein-monomer,reactant
MG_045_MONOMER,"spermidine/putrescine (polyamine) ABC transporter, spermidine/putrescine binding protein, putative",e,3,protein-monomer,reactant
MG_046_MONOMER,metalloendopeptidase,c,0,protein-monomer,reactant
MG_047_MONOMER,S-adenosylmethionine synthetase,c,1,protein-monomer,reactant
MG_048_MONOMER,signal recognition particle protein,c,6,protein-monomer,reactant
MG_049_MONOMER,purine nucleoside phosphorylase,c,4,protein-monomer,reactant
